key	label	scheme
adv	advert	ghio
art	article	ghio
bib	bibliography	ghio
ind	index	ghio
law	law	ghio
nam	names	ghio
pre	preface	ghio
rep	report	ghio
rev	review	ghio
tab	tables	ghio
