key	label	scheme
he	Health	ghio
cat	Cattle	ghio
ti	Transport	ghio
ha	Hail	ghio
wa	Water	ghio
fi	Fire	ghio
au	Employer's Liability	ghio
ga	Warranty	ghio
car	Car	ghio
mi	Marine	ghio
re	Pension	ghio
gl	Glas	ghio
li	Life	ghio
kau	Indemnity	ghio
ri	Reinsurance	ghio
mil	Military	ghio
ck	Credit	ghio
hp	Liability	ghio
ed	Burglary	ghio
vo	Volks	ghio
ai	Accident	ghio
oi	other	ghio
so	sonstige (explizit)	ghio
